,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.01,0.010881284191191151,0.012143236127378844,0.013244834214320038,0.014756979112584369,0.016396401817142515,0.01867987526696279,0.02035172102810762,0.02402708289643189,0.025688827414779847,0.028277532468826937,0.031083117894253515,0.03457644597368343,0.03766298397531601,0.04132049848218565,0.045861084681255944,0.04951129626662394,0.0550667612075939,0.06000901036191621,0.06696953394305298,0.07324036455473812,0.08192262696357328,0.08910861393265616,0.09763986101515015,0.10532432919864537,0.1174468425899972,0.1286238385771823,0.13975563061934307,0.15242083697387845,0.16777511483922508,0.1801507237130667,0.19477113715755653,0.21177499095622815,0.23053238481430427,0.2525367302593545,0.2745783132530121,0.29863989962358845,0.3265935162094763,0.3558893977811407,0.38153573371481536,0.4123013684896486,0.4436574565709591,0.47848795325382215,0.5143973549744515,0.5491678369737353,0.5849311099343572,0.6221016868331645,0.6601928182199246,0.700078800634395,0.7337729920140904,0.7672549748370182
1,0.01,0.014627089049638314,0.02236550068793749,0.03003243502983222,0.04219100673292722,0.0611502183580274,0.08898474319035067,0.12754528544002228,0.17917547039444037,0.24683411039254022,0.33668030741590976,0.4465571017274472,0.5711916394408976,0.7014238904977104,0.8238046047795944,0.9137981052989607,0.9666419421446184,0.989555691297077,0.9972921200694019,0.9993814042124378,0.9999299929993,0.9999298625305599,0.9999799833862105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.01,0.014390361059963174,0.021009749164214362,0.031689330491599874,0.04758061301765714,0.07208641159629207,0.10475693782783556,0.15345879142925928,0.21820129337097324,0.3067279021832663,0.42078139980824547,0.5555133155925489,0.6967898353168416,0.8278686882848959,0.92320357054302,0.9767748377433849,0.9955694370989792,0.9993112672682265,0.9999296793377803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.01,0.013751208897485493,0.019882935071204443,0.029582773623112856,0.0425000248887473,0.06129106271759624,0.08763407815690862,0.12677096220616993,0.18157108182383502,0.2521211756082377,0.3462031656982569,0.4643968441972979,0.5974698505549101,0.7310062421972534,0.8453095609717053,0.9277272041442438,0.9728972056187988,0.992411004044136,0.9981660754013589,0.9995208815778966,0.999859991599496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.01,0.014342845115314069,0.020796795280612245,0.0307349621431568,0.04585617607486395,0.06784120695519939,0.10027015898203293,0.14539860083789363,0.21638768629172236,0.30536389272214554,0.42434605231581474,0.5648629358960182,0.708899649025125,0.8408938323563305,0.932914525411767,0.9806848810956507,0.996859578286227,0.9997110316171268,0.999970004499325,0.9999698825419134,0.9999899950975978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
