,freq,freq_homo,freq_heter,drive_carrier,homo_carrier,heter_carrier,popsize
0,0.005,0.0,0.01,1000,0,1000,100000
1,0.007281043265910706,5.00415344736131e-05,0.014462003462874186,1450,5,1445,99917
2,0.011305174657191473,6.00540486437794e-05,0.022490241217095384,2253,6,2247,99910
3,0.017657067802344325,0.000298513403251806,0.034717108798185035,3519,30,3489,100498
4,0.026465085098506147,0.0005202965690443553,0.05188957705892359,5238,52,5186,99943
5,0.03823325947685552,0.001333426907151379,0.07379966513940828,7494,133,7361,99743
6,0.055962531523958206,0.0025119090508786677,0.10690124494615907,10933,251,10682,99924
7,0.08059799802397181,0.0059181046097344335,0.14935978682847476,15559,593,14966,100201
8,0.11476467445540961,0.011673034081630595,0.20618328074755804,21612,1158,20454,99203
9,0.16143930166463663,0.022025984571660575,0.2788266341859521,29640,2170,27470,98520
10,0.22237432193607046,0.04416226542308124,0.35642411302597843,39213,4323,34890,97889
11,0.295247412864004,0.0761544015318775,0.43818602266425305,49155,7278,41877,95569
12,0.3753226807829298,0.1224607609275779,0.5057238397107038,57673,11243,46430,91809
13,0.4612512636706185,0.1830139693042919,0.5564745887326532,64371,15931,48440,87048
14,0.5393396795684888,0.25011391204758443,0.5784515350418088,67282,20310,46972,81203
15,0.6087095414814513,0.32069110830172776,0.576036866359447,65966,23591,42375,73563
16,0.6635134722773184,0.38367764181746056,0.5596716609197157,61829,25147,36682,65542
17,0.6996951219512195,0.431333927103316,0.5367223896958071,56519,25183,31336,58384
18,0.7173521407489747,0.4530645099467208,0.5285752616045076,51220,23640,27580,52178
19,0.7312785794880932,0.47142546073598984,0.5197062375042065,50069,23815,26254,50517
20,0.7396236333052986,0.4836206896551724,0.5120058873002523,47352,23001,24351,47560
21,0.7446696921693711,0.4915228839320118,0.5062936164747185,46612,22961,23651,46714
22,0.7466427931960609,0.49424634801406203,0.5047928903639977,45753,22635,23118,45797
23,0.7500444998220007,0.5006674973300107,0.49875400498398004,44918,22502,22416,44944
24,0.7482989352804214,0.4969369532291973,0.5027239641024481,44222,21983,22239,44237
25,0.7481916918598142,0.49651774717276903,0.5033478893740903,44649,22172,22477,44655
26,0.7496035202930599,0.49922937747101787,0.500748285644084,44768,22350,22418,44769
27,0.7514806123589228,0.5029612247178455,0.49703877528215445,44745,22505,22240,44745
28,0.7504181735985533,0.5008363471971067,0.4991636528028933,44240,22157,22083,44240
29,0.7508770351713592,0.5017540703427184,0.49824592965728165,44468,22312,22156,44468
30,0.749550349475218,0.499100698950436,0.500899301049564,43923,21922,22001,43923
31,0.7494544554678185,0.498908910935637,0.5010910890643631,44451,22177,22274,44451
32,0.7509518629317379,0.5019037258634756,0.49809627413652435,44124,22146,21978,44124
33,0.7526825814730415,0.5053651629460829,0.49463483705391714,45199,22842,22357,45199
34,0.749794313922662,0.4995886278453241,0.5004113721546759,43756,21860,21896,43756
35,0.7483983758177306,0.49679675163546133,0.5032032483645387,44330,22023,22307,44330
36,0.7502616169037918,0.5005232338075836,0.49947676619241643,44913,22480,22433,44913
37,0.7495234036826878,0.49904680736537554,0.5009531926346245,44587,22251,22336,44587
38,0.7504063205417607,0.5008126410835214,0.49918735891647853,44300,22186,22114,44300
39,0.7499773150038564,0.4999546300077129,0.5000453699922871,44082,22039,22043,44082
40,0.7504050405040504,0.5008100810081008,0.4991899189918992,44440,22256,22184,44440
41,0.7496722867603851,0.4993445735207702,0.5006554264792298,44246,22094,22152,44246
42,0.7516038492381716,0.5032076984763433,0.4967923015236568,44892,22590,22302,44892
43,0.7490745696191241,0.49814913923824816,0.5018508607617519,44844,22339,22505,44844
44,0.7493249932499325,0.498649986499865,0.501350013500135,44444,22162,22282,44444
45,0.7499887650548265,0.49997753010965307,0.5000224698903469,44504,22251,22253,44504
46,0.750803714949098,0.5016074298981961,0.4983925701018039,44792,22468,22324,44792
47,0.7507892525380999,0.5015785050761998,0.4984214949238002,44029,22084,21945,44029
48,0.7518659661307416,0.5037319322614833,0.49626806773851667,44347,22339,22008,44347
49,0.749511652205515,0.4990233044110298,0.5009766955889702,44026,21970,22056,44026
50,0.7506065124974961,0.5012130249949921,0.4987869750050079,44929,22519,22410,44929
